ColorA,ColorB,ColorC,ColorD,ColorE,Preference
14.32,51.22,58.56,59.42,48.44,0
13.54,53.54,60.67,59.91,42.99,2.59
10.76,47.6,51.94,51.34,40.71,3.55
7.01,47.08,47.26,44.72,36.18,4.6
6.29,53.03,42.42,33.43,18.81,2.36
6.34,48.38,43.49,30.27,11.75,1.5
12.86,43.12,39.77,35.62,27.56,2.98
13.16,47.05,36.84,24.72,11.04,0.79
15.31,48.07,34.53,19.5,7.38,0.333
10.3,38.8,40.23,42.43,39.84,2.2
11.46,42.41,34.63,26.93,14.32,2.21
10.63,44.58,33.21,19.81,8.71,1.41
15.86,45.14,52.19,54.14,47.69,1
7.81,47.8,44.33,38.64,26.02,4
7.78,45.02,39.88,31.24,17.41,2.88
7.05,40.89,44.95,45.96,41.97,5.39
1.84,45.2,40.47,33.7,22.46,3.5
12.25,46.79,39.76,25.57,12.44,1.5
10.83,42.19,43.91,47.48,44.77,4.02
6.57,44.86,40.57,34.89,23.57,3.36
8.22,51.14,42.93,29.94,14.03,2
12.23,52.52,31.1,42.09,40.21,4.44
6.92,36.83,31.54,32.92,21.32,5.57
11.97,46.96,34.78,23.15,7.34,1.57
13.26,42.7,42.56,39.95,29.1,4.88
10.4,43.94,38.38,30.99,17.98,2.14
12.11,46.56,38.15,22.86,8.33,2.21
